Results:

Channel 1:
Segment 1:
Ep = 0.298V
ip = -5.690e-9A
Ah = -5.633e-9C

Segment 2:
Ep = 0.123V
ip = 5.238e-9A
Ah = 5.427e-9C

Potential/V	Current/A
0.264	-5.944e-9
0.265	-5.957e-9
0.266	-5.971e-9
0.267	-5.984e-9
0.268	-5.996e-9
0.269	-6.006e-9
0.270	-6.017e-9
0.271	-6.029e-9
0.272	-6.037e-9
0.273	-6.044e-9
0.274	-6.052e-9
0.275	-6.060e-9
0.276	-6.067e-9
0.277	-6.074e-9
0.278	-6.081e-9
0.279	-6.088e-9
0.280	-6.095e-9
0.281	-6.099e-9
0.282	-6.103e-9
0.283	-6.107e-9
0.284	-6.110e-9
0.285	-6.113e-9
0.286	-6.117e-9
0.287	-6.120e-9
0.288	-6.122e-9
0.289	-6.125e-9
0.290	-6.127e-9
0.291	-6.129e-9
0.292	-6.129e-9
0.293	-6.131e-9
0.294	-6.132e-9
0.295	-6.133e-9
0.296	-6.134e-9
0.297	-6.136e-9
0.298	-6.136e-9
0.299	-6.135e-9
0.300	-6.134e-9
0.301	-6.134e-9
0.302	-6.135e-9
0.303	-6.135e-9
0.304	-6.134e-9
0.305	-6.134e-9
0.306	-6.133e-9
0.307	-6.132e-9
0.308	-6.131e-9
0.309	-6.130e-9
0.310	-6.128e-9
0.311	-6.127e-9
0.312	-6.125e-9
0.313	-6.124e-9
0.314	-6.122e-9
0.315	-6.121e-9
0.316	-6.119e-9
0.317	-6.116e-9
0.318	-6.117e-9
0.319	-6.116e-9
0.320	-6.113e-9
0.321	-6.112e-9
0.322	-6.111e-9
0.323	-6.109e-9
0.324	-6.109e-9
0.325	-6.106e-9
0.326	-6.103e-9
0.327	-6.101e-9
0.328	-6.100e-9
0.329	-6.098e-9
0.330	-6.096e-9
0.331	-6.094e-9
0.332	-6.091e-9
0.333	-6.089e-9
0.334	-6.088e-9
0.335	-6.087e-9
0.336	-6.086e-9
0.337	-6.083e-9
0.338	-6.081e-9
0.339	-6.079e-9
0.340	-6.077e-9
0.341	-6.075e-9
0.342	-6.074e-9
0.343	-6.070e-9
0.344	-6.068e-9
0.345	-6.067e-9
0.346	-6.066e-9
0.347	-6.064e-9
0.348	-6.062e-9
0.349	-6.061e-9
0.350	-6.060e-9
0.351	-6.058e-9
0.352	-6.056e-9
0.353	-6.053e-9
0.354	-6.052e-9
0.355	-6.051e-9
0.356	-6.051e-9
0.357	-6.047e-9
0.358	-6.045e-9
0.359	-6.043e-9
0.360	-6.041e-9
0.361	-6.040e-9
0.362	-6.038e-9
0.363	-6.037e-9
0.364	-6.037e-9
