Distance/um	Current/A
211.814	-5.152e-9
212.814	-5.153e-9
213.814	-5.153e-9
214.814	-5.153e-9
215.814	-5.152e-9
216.814	-5.152e-9
217.814	-5.151e-9
218.814	-5.151e-9
219.814	-5.151e-9
220.814	-5.151e-9
221.814	-5.151e-9
222.814	-5.152e-9
223.814	-5.152e-9
224.814	-5.153e-9
225.814	-5.152e-9
226.814	-5.151e-9
227.814	-5.152e-9
228.814	-5.151e-9
229.814	-5.151e-9
230.814	-5.151e-9
231.814	-5.151e-9
232.814	-5.152e-9
233.814	-5.152e-9
234.814	-5.153e-9
235.814	-5.152e-9
236.814	-5.152e-9
237.814	-5.151e-9
238.814	-5.150e-9
239.814	-5.151e-9
240.814	-5.152e-9
241.814	-5.152e-9
242.814	-5.152e-9
243.814	-5.152e-9
244.814	-5.151e-9
245.814	-5.152e-9
246.814	-5.152e-9
247.814	-5.152e-9
248.814	-5.150e-9
249.814	-5.150e-9
250.814	-5.150e-9
251.814	-5.150e-9
252.814	-5.151e-9
253.814	-5.151e-9
254.814	-5.152e-9
255.814	-5.152e-9
256.814	-5.151e-9
257.814	-5.151e-9
258.814	-5.150e-9
259.814	-5.151e-9
260.814	-5.150e-9
261.814	-5.149e-9
262.814	-5.150e-9
263.814	-5.151e-9
264.814	-5.152e-9
265.814	-5.151e-9
266.814	-5.151e-9
267.814	-5.151e-9
268.814	-5.150e-9
269.814	-5.150e-9
270.814	-5.150e-9
271.814	-5.150e-9
272.814	-5.151e-9
273.814	-5.151e-9
274.814	-5.151e-9
275.814	-5.151e-9
276.814	-5.150e-9
277.814	-5.150e-9
278.814	-5.150e-9
279.814	-5.150e-9
280.814	-5.149e-9
281.814	-5.150e-9
282.814	-5.149e-9
283.814	-5.150e-9
284.814	-5.151e-9
285.814	-5.150e-9
286.814	-5.150e-9
287.814	-5.150e-9
288.814	-5.148e-9
289.814	-5.149e-9
290.814	-5.150e-9
291.814	-5.149e-9
292.814	-5.150e-9
